pn,qty,description
DOU000046,0,LINEAR BEARING CLS D10 NO CLIP
DOU000047,0,LINEAR BEARING OPN D12 NO CLIP
DOU000048,16,LINEAR BEARING CLS D12 NO CLIP
DOU000050,0,LINEAR BEARING CLS D16 NO CLIP
DOU006849,0,LINEAR BEARING CLS D16 SMART
DOU015392,0,LINEAR BEARING OPN D16 KRYTOX
DOU015393,0,LINEAR BEARING OPN D20 KRYTOX
ECL013586,12,LAMPE 14V 80 MA 50000H
ECL013595,4,"BYGR"""""""" STATUS LIGHT"""""""""
ECL013597,0,STATUS LIGHT
ECR000053,0,NUT
ECR011416,20,ECROU M04 H INOX
ECR016187,0,M16 STEEL NUT
ECRO13690,0,ECROU M02 H INOX
ECUA00002,0,PC ASSEMBLY
ECUA00003,0,PC_SPP_ETHERNET
ECUA000035,0,AICSYS CONTROLLER
ECUA000036,0,AICSYS PC FOR 300MM SORTER
ECUA000037,0,PC
ECUA00007,0,PC ASSEMBLY
ECUA00010,0,PC MATROX
ECUA00028,0,PC
ECUA00033,3,PC ASSEMBLY
ECUA00035,0,PC ASSEMBLY
ECUA00036,0,PC ASSEMBLY
ECUA00037,0,PC MATROX FOR G3
ECUA00044,0,"PC ASSEMBLY, P4, ADVANTEC"
ECUA00051,0,PC MATROX FOR SPP200D
ECUA00052,2,"PC ASSEMBLY, P4, ADVANTEC"
ECUC00044,0,KIT CABLES PC-MATROX  FOR G3+
EI14EP0,0,TIPS FOR UP TO 5IN
EI14EP0SD,1,TIPS FOR UP TO 5IN ESD
EI14EP10,0,ANGLED EXTERNAL 10 DEGREE
EI14EP10SD,39,ANGLED EXT. 10 DEGREE ESD
EI14EP30,0,ANGLED EXTERNAL 30 DEGREE
EI14EP30SD,15,ANGLED EXT. 30 DEGREE ESD
EI14EP45SD,0,INJECTED PEEKTIP 45
EI14EPOBW,0,TIPS FOR UP TO 5IN BIG WINDOW
EI14IP10,0,ANGLED INTERNAL 10 DEGREE
EI14IP10BW,0,ANGLED INT.10 DEG. BIG WINDOW
EI14IP10SD,0,ANGLED INT. 10 DEGREE ESD
EI14IP30,0,ANGLED INTERNAL 30 DEGREE
EI14IP30BW,0,ANGLED INT. 30 DEG. BIG WINDOW
EI14IP30SD,1,ANGLED INT.30 DEGREE ESD
EI30EP0,5,INJECTED PEK TIPS FOR 6IN & 8I
EI30EP030,0,"Angled Injected Peek for 6&8"""""
EI30EP0SD,4,TIPS FOR 6IN & 8IN ESD
EI30EP10,10,ANGLED EXTERNAL 10 DEGREE
EI30EP10SD,0,ANGLED EXT. 10 DEGREE ESD
EI30EP30,17,ANGLED EXTERNAL 30 DEGREE
EI30EP30SD,1,ANGLED EXT. 30 DEGREE ESD
EI30IP10,0,ANGLED INTERNAL 10 DEGREE
EI30IP10SD,0,ANGLED INT. 10 DEGREE ESD
EI30IP30,0,ANGLED INTERNAL 30 DEGREE
EI30IP30SD,18,ANGLED INT. 30 DEGREE ESD
EI33EP0SD,0,"TIPS FOR 6 &8"""" ESD"""" -"
EI33EP30SD,0,WAND ESD
EI50EP0,0,300MM TIP
EI50EP0SD,0,INJECTED PEEK TIP FOR 8-12
EI50EPO,0,300MM TIP
ELA009727,0,ELECTRO MAGNETIC BRAKE
EMB015325,1,PLEXIGLASS BOX
EMB015423,0,End Effector Case
EMB015442,0,G1-G3 EE SHIPPING CRATE
EMBA50260,0,WOODEN CRATE
EMBA50490,0,"FLIP CRATE, WOODEN"
EMO-5025,0,WOODEN CRATE
EMUA00001,0,FRONT SIDE SCREEN TOUCHSCREEN
ESR300-2,0,STOCKER INTEGRATED SORTER 2 LP
ESR300-4,0,STOCKER INTEGRATED SORTER 4 LP
ESR300F50,0,ESR300-4 LP INTEGRATED SORTER
ESR300F59,0,SIS 4 NFO G3+
ESR300T50,0,ESR300-4 LP INTEGRATED SORTER
ESR300T53,0,ESR300-2 LP INTEGRATED SORTER
ESRT01A10519,5,KEYBOARD
EXT140,0,EXTENSION TUBE
F012A02_A2400,0,"F.O.RACKET,FWD/BKWD,MOTOR"
F012A02_A4700,0,"EMO,ASSESMBLY,STD,LOAD,PORT"
F012A02_A6325,0,ROTATION KEY MOTOR
F012A10A47000,0,"EMO,ASSESMBLY,FOHA,LOAD,PORT"
F012B03K03,0,"KIT,FOUP-OPENER FUSES"
F0300UK11,0,"RFID,TIRIS,LP1"
F0300UK12,0,"RFID,TIRIS,LP2"
F0300UK13,0,"RFID,TIRIS,LP3"
F0300UK14,0,"RFID,TIRIS,LP4"
F03AC2001,0,"CABLE,ROLLEY,F04"
F03AC2103,0,"ROTAT,CPY,PAD,RBN,CBLE,GRN"
F03CC2042,0,"FOHA/STD,CPY,PAD,BWD/FWD,YEL"
FCSA05A51156,1,EDGE CONTACT ALIGNER STAR
FCSA06A60100,0,SEARCH SENSORS
FCSA06A60200,0,SLIDE SENSORS
FCST00A50100,0,ALIGNER STAR
FFE_A0223,0,ALIGNER ROTATION MOTOR
FFFU300A01_M2105,2,TIGES
FFU300A01_A2200,5,FILTER FAN UNIT MOTOR
FFU300A01_M2105,2,AXE
FFU300A02_M0002,0,ABSOLUTE FILTER JOINT
FFUA04A40005,0,FILTRE JOINT PORON
FFUA05A50208,2,ABSOLUTE FILTER & SEAL
FFUAC1010,0,FFU CABLES
FILT12472,0,PRE-FILTER
FILT12475,0,ABSOLUTE FILTER
FILT12486,2,PRE-FILTER
FILT12489,0,ABSOLUTE FILTER
FILT12492,0,E-PTFE FILTER
FILT12494,0,PRE-FILTER
FILT12502,1,Pre-Filter
FO12_A6100,0,VACUUM SUCTION CUP
FO12_A6406,0,AXE VIS
FO12_A6560,38,FIMS DOOR PIN UPGRADE
FO12_A6940,2,ANTENNA ARM
FO12_A7200,0,CARRIER LOCKING DEVICE ASSY
FO12_M2404,0,GEAR WHEEL
FO12_M6101,0,PIN SUCTION CUP
FO12_M6716,10,ENTRETOISE
FO12_M7013,10,SENSOR AXIS WASHER
FO12_M7014,10,SENSOR PUSHING AXIS
FO12_M7016,10,SENSOR AXIS
FO12_M7031,10,PIN
FO12A02_A1220,6,VACCUUM PUMP
FO12A02_A2400,2,FOUP OPENER RACKET FWD/BWD MOT
FO12A02_A3285,9,CARRIER R/PLANE FWD/BWD MOTOR
FO12A02_A4200,1,CARRIER LATCH ASSEMBLY
FO12A02_A4700,2,EMO ASSEMBLY (STD)
FO12A02_A5100,1,FOUP OPENER RACKET UP/DOWN TRA
FO12A02_A5200,0,FO RACKET UP/DOWN TRANS+ BRAK
FO12A02_A6150,0,CORPS POULIE
FO12A02_A6325,0,ROTATION KEY  MOTOR
FO12A02_A7000,2,LOADING STAGE V2
FO12A02_M2610,0,RACK
FO12A02_M3411,0,APPUI GAUCHE
FO12A02_M3415,4,BELT
FO12A02_M3457,0,FO12A02_M3457
FO12A02_M4101,3,BELT
FO12A02_M6960,0,MAPPING LASER
FO12A02_M8564,3,FOUP OPENER FRAME BEAM
FO12A02_M8602,6,SCREWS (M08X30)
FO12A03L10000,2,FO ADJUSTMENT JIG
FO12A03L10008,0,VACMM SCTION CUP ADJSMENT JIG
FO12A10A47000,1,EMO FOR FOHA
FO12A10M31019,2,FLAG
FO12A19M00051,1,PLAQUE
FO12A19M000518,0,LOAD PORT CONNECTION PLATE
FO12A19M81001,0,SUPPORT ELEC
FO12A1OA47000,0,EMO FOR FOHA
FO12B03K01,3,KIT OF MOTION&SAFETY ENCODERS
FO12B03K02,0,FOUP OPENER TOOTHED BELT KIT
FO12B03K03,1,KIT OF FUSES
FO12B03O6100,2,VACUUM PRESSURE GAUGE
FO12C03A67500,6,MAPPING ANTENNA (FOHA)
FO12C03A67600,2,ANTENNA MOTOR
FO12C03M60002,0,LSF07C; RACKET COVER
FO12C03M67501,1,BODY
FO12C03M67502,6,PINION
FO12C03M67503,3,PINION
FO12C03M67504,6,PULLEY
FO12C03M67505,20,RONDELLE
FO12C03M67506,3,AXE LAVIER
FO12C03M67507,3,JOINT AXE PIGNON
FO12C03M67508,0,VIS
FO12C03M67509,3,ENCODER AXIS
FO12C03M67515,6,CLAMP
FO12C03M67516,6,BELT SUPPORT
FO12C03M67517,3,GUIDING PART
FO12C03M67518,3,SENSOR INTERUPT PART
FO12C03M67519,3,FIXING PART
FO12C03M67520,3,CABLE CLAMP
FO12C03M67522,3,GUIDING CABLE
FO12C03M67523,3,"COVER, ANTENNA, FOHA"
FO12C03M67524,3,COVER
FO12C03M67525,3,COVER
FO12C03M67526,3,LEVER
FO12C03M67527,3,LEVIER
FO12C03M67528,3,AXIS
FO12C03M67529,3,SETTING NUT
FO12C03M6753,0,GUIDE COURROIE
FO12C03M67530,3,BELT AXIS
FO12C03M67531,3,BLET CLAMP
FO12C03M67532,3,BELT GUIDING PART
FO12C03M67533,3,STOP PART
FO12C03M67534,9,"BELT, MAPPING ANTENNA"
FO12C10A74010,2,MOTOR CLAMP
FO12C10A74020,3,CARRIER CLAMP MECHANISM
FO12C10M74025,15,FOHA CLAMP SPRING
FO12D07M31012,19,PINION
FO12D07M31041,0,Hard stop pins
FO12E03A24000,1,FOUP OPENER RACKET F/B MOTOR
FO12E03A27000,0,RACKET CABLE GUIDING CHAIN
FO12E03A32085,2,"CARRIER RESTING PLANE, MOTOR"
FO12E03A64000,2,FOUP DOOR LOCK KEY
FO12E03A67500,1,"MAPPING ANTENNA, STANDARD"
FO12E03A69200,6,MAPPING ANTENNA MOTOR
FO12E03A70000,2,CARRIER RESTING PLN FOR STD LP
FO12E03M66007,0,ANTENNA MAPPING BELT (300E03)
FO12E03M85063,0,FRONT BEAM
FO12E03M85064,1,BACK BEAM
FO12OUT_M0003,0,LOAD PORT KEYS ALIGNMENT
FO300K100,3,STD FO MAP. ANT. INT SENS.KIT
FO300K101,3,STD FO LAS.MAP+RO INT SENS.KIT
FO300K102,2,STD FO MAP+RACK INT SENS.KIT
FO300K103,3,FO DOOR KEY INT. SENSOR KIT
FO300K104,5,RIGHT FO DOOR DETCT SENSOR KIT
FO300K105,6,LEFT FO DOOR DETCT SENSOR KIT
FO300K106,3,FO RACKET U/D INT SENSOR KIT
FO300K107,3,CARR.RST.PLN. F/B INT SNS.KIT
FO300K108,18,STANDARD FO CARRIER DETECTION
FO300K110,0,CONVERSION KIT TO UPGRADE
FO300K111,3,RACKET BCK/FWD SENSOR KIT
FO300UK09,0,FO4 KINEMATIC UPGRADE KIT
FO300UK10,0,FO5 KINEMATIC UPGRADE
FO300UK11,0,TIRIS MODULE CONFIGURE LP#1
FO300UK110,2,CONVERSION KIT TO UPGRADE FO1
FO300UK111,0,RACKET BCK/FWD SENSOR KIT
FO300UK12,0,TIRIS MODULE CONFIGURE LP#2
FO300UK13,2,TIRIS MODULE CONFIGURED LP3
FO300UK14,0,TIRIS MODULE CONFIGURED LP4
FO300UK15,0,COMM KIT BETWEEN SORTER ANS LP
FO300UK16,1,TIRIS TAG READER FIXATION KIT
FO300UK18,0,FOR LP FOR300E
FO300UK19,0,FOHA SERVICE DOORLOCKINGPINKIT
FO300UK20,0,INFO PAD PIN KIT
FO300UK26,0,CARRIER RESTING PLANE KIT
FO300UK27,0,LOADPORT CONNEXION KIT
FO300UK28,0,LOADPORT CONNEXION KIT
FO3AC2000,2,PINK/WHITE CABLE
FO3AC2001,14,FLEXPAK U/D RACKET CABLE
FO3AC2003,0,FO FLEX PACK
FO3AC2004,0,Forward/Backward Racket Motor
FO3AC2005,0,STEP POINT SENSOR
FO3AC2011,3,VACUUM SHUT OFF VALVE
FO3AC2013,6,SENSOR LP KEY SHORT WIRE
FO3AC2015,2,SENSOR LP KEY LONG WIRE
FO3AC2016,0,CARRIER PRESENCE SWITCH CABLE
FO3AC2017,0,CARRIER PRESENCE SWITCH CABLE
FO3AC2024,2,"ENCODER, UP/DOWN"
FO3AC2026,6,ENCODER
FO3AC2028,5,ENCODER
FO3AC2033,0,CARRIER R/PLANE F/BWD MOTION B
FO3AC2035,2,CANOPY SECURITY ENCODER CABLE
FO3AC2037,4,ENCODER
FO3AC2040,5,RESTING PLANE EXTENSION CABLE
FO3AC2042,4,EXTENSION CABLE
FO3AC2043,7,EXTENSION CABLE
FO3AC2044,4,CABLE AND SENSOR FOR CANOPY
FO3AC2045,6,SENSOR CANOPY POSITION
FO3AC2046,3,CABLE AND SENSOR FOR CANOPY
FO3AC2047,4,CABLE AND SENSOR FOR CANOPY
FO3AC2048,3,CABLE AND SENSOR FOR CANOPY
FO3AC2049,1,CABLE AND SENSOR FOR CANOPY
FO3AC2050,0,CABLE AND SENSOR FOR CANOPY
FO3AC2057,1,EXTENSION CABLE
FO3AC2058,1,CPU1
FO3AC2078,0,DOWNLOADING CABLE SUB-D9/PAND
FO3AC2097,2,FOHA ROTATION CABLE
FO3AC2098,6,FOHA ROTATION CABLE
FO3AC2101,1,Load Port 180 Sensor
FO3AC2102,13,FOHA INFO PAD ROTAT RBN YEL
FO3AC2103,2,FOHA CANOPY PAD RBN CBL GRN
FO3AC2104,0,TAG READ COMMUNICATION SIGNA
FO3AC2119,7,"ANTENNA ENCODER, MAIN"
FO3AC2120,0,MAPPING ANTENNA MAIN ECODER
FO3AC2129,4,"DOOR MOTOR CABLE, FW/BK"
FO3AC2131,0,BRUCHLESS VACCUM PUMP EXTENSIO
FO3CC2039,10,FOHA/STD PAD BCK/FWD RBN GRN
FO3CC2042,4,FOHA/STD CPY PAD BWD/FWD YEL
FO3DC2043,0,Resting plane extension cable
FOA02A85555,0,SUPPORT
FOA02A85835,0,SUPPORT
FOA02M85556,0,PLASTIC SUPPORT
FOA02M89055,0,METALLIC SUPPORT
FOC10A31010,3,CANOPY ROTATION MOTOR
FOC10A740007,0,CLAMP MOTOR
FOC10A74007,3,CLAMP MOTOR
FOC10M31001,20,BODY
FOC10M74031,52,ROTATIVE FO CLAMP BELT
FOE03A60325,2,ROATTION KEY MOTOR
FOE03M64008,3,FO KEY ASSEMBLY
FOI2A02_M3460,0,FOI2A02_M3460
FOM01A80010,0,TIRIS BOARD
FOM01A80017,3,FO STATUS LIGHT
FON01A00003,9,FOUP FRAME SECURITY STD
FON01A00006,6,FOUP FRAME (ROT)
FON01A61000,94,FIMS DOOR PIN UPGRADE
FON01A85560,2,SERVICE DOOR LOCKING PIN KIT
FON01M100005,2,CAPOT
FONO1A61000,0,"FO5 DOOR SENSOR PIN,LONG"
FOR300E012,0,300MM FOR FOSB HANDLING + RFID
FOR300E08,0,300MM FOR FOSB HANDLING
FOR300K100,18,ROTARY FO CLAMP INT.SENS.KIT
FOR300K101,0,ROTARY FO CLAMP DEST.SENS. KIT
FOR300K102,3,CARR.REST.ROT.INT SENS.KIT
FOR300K103,2,CARR.REST.ROT.DEST.SENS.KIT
FOR300K104,2,ROT FO MAP.ANT.INT SENS.KIT
FOR300K105,0,ROTARY FO CARR DET CELL KIT
FORE06A70000,0,New FOHA CANOPY
FORE06A70200,0,CLAMP FO ADFOSB UPGRADE
FORE08A70000,3,CARRIER RESTING PLN FOR ROT LP
FORE08K04,7,FOHA SENSOR KIT
FQDC,4,QUICK DISCONNECT-FEMALE
FRE010841,4,ELEVATOR BATCH BRAKE MOTOR
FREIGHT,1,TRANSPORTATION
FUSE15117,35,FUSE 5A
FUSE15127,0,0.5 AMP PICO FUSE FOR ETEL DRV
FUSE15140,5,FUSE 1A
GOU002330,0,02 X 10 PIN
GOU015201,0,GOUP 04X24CYL DR 304
GOUAF02A08,0,GOUPE 2X8 ELAST INOX
GOUAW02B06,0,G 2X6 CYL DR PEIFC
GOUAW02B08,0,G 3X8 CYL DR PEIFC
GOUAW03B08,0,G 3X8 CYL DR PEIFC
GRAIS0012,0,GREASE GUN UNIT MG70
IC-7905T,20,REGULATOR FOR POWER SUPPLY
IDLAC001,2,ROTATION MOTOR CABLE
IDLAC002,0,U/D MOTOR CABLE
IDLAC010,62,"CABLE, PC POWER SUPPLY"
IDLAC012,4,IDLW KEYBOARD TO PC CABLE
IDLAC016,0,CAMERA RIBBON CABLE
IDLAC017,16,LIGHTING RIBBON CABLE
IDLAC018,0,RIBBON CABLE
IDLAC020,3,CABLE SIGNAL VIDEO
IDLAC025,2,CAMERA CABLE EXTENSION JUMPER
IDLAC027,1,RIBBON CABLE
IDLAC030,1,LIGHTING DRIVER CABLE
IDLAC032,3,CAMERA CABLE
IDLAC033,6,CAMERA INT CABLE
IDLAC037,5,ON/OFF SWITCH
IDLAC044,0,CABLE MOTHER BOARD POWER
IDLAC045,0,SCREEN CABLE
IDLAC051,0,MIRROR INITIALIZATION SENSOR
IDLAC070,17,VIDEO CABLE TO BE USED WITH ID
IDLAC101,0,FLOPPY CABLE
IDLAC102,0,HD CABLE
IDLAC105,2,GENERIC CABLE
IDLAC109,0,BAR CODE GUN BAORD (HE16) LB3
IDLAC110,2,GENERIC CABLE
IDLAC111,2,CABLE ALIM ECRAN
IDLAC113,2,CABLE CONRASTE ECRAN
IDLAC114,2,CABLE ALIM DISTRIBUTION
IDLAC117,3,CABLE MINI DIN (BCG JUMPER
IDLAC120,2,CABLE DISQUE DUR
IDLAC122,0,MOUSE INTERFACE CABLE
IDLAC2001,7,VIDEO CABLE
IDLAC2002,2,BAR CODE GUN BOARD CE
IDLAC2006,2,CX104 VIDEO CABLE
IDLAC2015,2,GENERIC CABLE
IDLAH0011,15,LIGHTING BOARD FOR CE
IDLAH0024,0,TROLLEY CAMERA INTERFACE BOARD
IDLAH0025,0,LIGHTING BOARD (ALTERNATE)
IDLAH0027,1,LIGHTING ADAPTOR BOARD
IDLAH0079,9,ALIGNER INTERFACE BOARD
IDLAH0112,13,BUFFER LIGHTING BOARD BOOSTED
IDLAH1100,22,MOTOR CONTROL BOARD
IDLAH1800,1,MOTHER BOARD
IDLAH1900,21,CAMERA INTERFACE BOARD
IDLAH9418,5,POWER SUPPLY BOARD
IDLBC016,1,RIBBON CABLE
IDLBC017,1,RIBBON CABLE
IDLBC109,0,BAR CODE GUN BOARD NON CE-LB2
IDLBH0011,5,LIGHTING BOARD NON CE
IDLW200M07,0,"8 DUAL CAMERA OCR NOTCH"""""
IDLW200M11,0,"8 DUAL CAMERA OCR FLATTED"""""
IDLW200S11,0,IDLW8 MUILTISCRIBE NOTCH
IDLW6_A9002,0,ALIGNER ASSEMBLY
IDLW6_A9011,0,CAMERA MODULE
IDLW6_A9012,0,LIGHTING UNIT
IDLW6_M0009,0,COLONETTE TOURNANTE
IDLW6_M0010,0,COLONETTE H BARRE
IDLW6ME_M0011,0,COLONETTE BUTEE AV
IDLW8_A0139,6,LCD SCREEN
IDLW8_A9002,38,ALIGNER ASSEMBLY
IDLW8_A9003,8,UP/DOWN MOTOR ASSEMBLY
IDLW8_A9005,4,CAMERA TRANSMISSION
IDLW8_A9009,1,KEYBOARD
IDLW8_A9010_04,2,UPPER REAR CROSS PIECE
IDLW8_A9011,6,CAMERA MODULE
IDLW8_A9012,19,LIGHTING UNIT
IDLW8_A9013,9,MAPPING UNIT
IDLW8_A9014,21,ROTATION MOTOR (MONOBLOC ASSY)
IDLW8_A9020,16,LOWER ROLLER
IDLW8_A9021,7,UPPER ROLLER
IDLW8_A9087,19,REAR SIDE CASS.DETECT.SENSOR
IDLW8_A9088,10,FRONT SID.CASS.DETEC.SENSOR
IDLW8_A9103,2,ALIGNER U/D MOTOR (OLD)
IDLW8_A9105,1,X AXIS CAMERA ASSEMBLY MOTOR
IDLW8_A9106,0,MICRO CAMERA
IDLW8_A9109,3,EMO
IDLW8_A9114,9,MAPPING UNIT (NON CE)
IDLW8_A9118,206,MOUNTED O-RING
IDLW8_A9180,1,ALIGNER U/D MOTORIZATION (NEW)
IDLW8_A9214,7,ROTATION MOTOR (MONOBLOC)
IDLW8_A9543,9,REAR CASSETTE GUIDING ROD
IDLW8_A9563,1,UP/DOWN SWITCH (OLD)
IDLW8_A9564,2,UP/DOWN SWITCH (NEW)
IDLW8_A9607,0,"PC, INDUST, BLACK, COVER"
IDLW8_M0014,4,TOOTHED ROD SUPPORT (FLAT)
IDLW8_M0022,4,3MM ROD
IDLW8_M0045,10,BELT
IDLW8_M0064,1,ROTATING (10MM) ROD
IDLW8_M0065,0,CAMERA TROOLEY RAIL SUPPORT
IDLW8_M0068,0,LOWER CAMERA TROLLEY RAIL
IDLW8_M0069,17,CAMERA SUPPORT RAIL
IDLW8_M0075,0,SILICONE ROLLER GEAR WHEEL
IDLW8_M0077,5,MAD GEAR
IDLW8_M0098,0,TOOTHED ROD SUPPORT CE
IDLW8_M0099,25,TOOTHED ROD (FIXED COMB)
IDLW8_M0117,0,CAMERA AXIS SUPPORT
IDLW8_M0144,0,LCD SCREEN COVER
IDLW8_M0183,0,WORM GEAR (OLD TYPE)
IDLW8_M0202,0,LCD CLEAR COVER
IDLW8_M0305,2,GEAR SECTOR FOR ALIGNER
IDLW8_M0513,0,LEFT COVER HINGE
IDLW8_M0538,0,MOTHERBOARD RIGHT HINGE
IDLW8_M0539,0,HINGE SUPPORT ON THE LEFT
IDLW8_M0540,0,KEYBOARD RAL SUPPORT
IDLW8_M0542,0,FRONT CASSETTE GUIDING ROD
IDLW8_M0545,0,KEYBOARD SUPPORT
IDLW8_M0553,0,MOTHERBOARD LEFT HINGE
IDLW8_M0555,0,HINGE SUPPORT ON THE RIGHT
IDLW8_M0559,1,HINGE FIXING PIECE
IDLW8_M0581,0,POWER SUPPLY TERMINAL COVER
IDLW8_M1098,0,TOOTHED ROD SUPPORT NON CE
IDLW8_M1106,2,RIGHT PC COVER HINGE
IDLW8_M1107,2,LEFT PC COVER HINGE
IDLW8_M1109,0,MOUNTING BRACKET
IDLW8_M1110,0,MOUNTING BRACKET
IDLW8_M1119,0,BOLT
IDLW8_M1120,0,BOLT AXIS
IDLW8_M1125,0,PC SUPPORT PIECE
IDLW8_M1126,0,PC SUPPORT PIECE
IDlw8a9543,0,SUPPORT FOR ROLLER
IDLW8AD1A09000,2,ADAPTER NON CE PWR SPLY TO CE
IDLW8AD2A09000,33,ADAPTER CE PWR SUPPLY
IDLW8H9010,10,CAMERA POWER SUPPLY BOARD
IDLW8K01,4,KIT OF LINEAR BALL BEARING
IDLW8K02,15,KIT OF BALL BEARINGS
IDLW8K03,2,KIT OF SCREWS
IDLW8K05,2,MIRRO UPGRADE KIT
IDLW8K07,2,ALIGNER GEAR WHEEL KIT
IDLW8K08,0,OLD U/D TRANSMISSION AXIS
IDLW8K102,2,BSS KIT FOR CE IDLW>SER#44
IDLW8K103,0,BSS KIT FOR NON CE IDLW8
IDLW8K104,0,BSS KIT CE IDLW8>544 NO BOOST
IDLW8K105,0,BSS KIT NON CE IDLW8 BOOSTED
IDLW8K106,0,BSS KIT FOR NON-CE TOOLS
IDLW8K12,3,MIRROR CAMERA TRANS FLAT CABLE
IDLW8K13,0,AMPRO MTHRBRD + WIN 3.1 HD
IDLW8K16,0,ADVANTEC MB AND 3.1 HD
IDLW8K17,3,ROTATION CABLE
IDLW8K19,0,PC POWER SUPPLY ADAPTOR
IDLW8K19-A,0,PC POWER SUPPLY ADAPTOR
IDLW8M,0,INDENTIFICATION LOT WAFER 8
IDLW8M_M0607,0,IDLW8M MIRROR SUPPORT
IDLW8M_M0608,5,MIRROR
IDLW8MR_A9005,2,TRANSMISSION ASSY MIRROR IDLW
IDLW8MS1_A9015,2,LIGHTING UNIT FOR MIRROR IDLW
IDLW8MS1_A9507,0,INDUSTRIAL PC
IDLW8MS1_M0008,0,CRYSTALPACK UPGRADE KIT
IDLW8MS1_M0092,0,Status light support
IDLW8MS4_A9019,0,MIRROR ASSY
IDLW8PCK01,0,AMPRO CABLE KIT
IDLW8PCK02,0,ADVANTECH W/VISION CBL KIT
IDLW8PCK03,0,ADVANTECH FRAMELOCKER CBL KIT
IDLW8S1_A9019,1,MIRROR ASSY
IDLW8SI_A9019,0,MIRROR ASSY
IDLW8SI_M0109,0,MIRROR STRAP
IDLW8SU_M0064,0,ROTATING ROD
IDLW8TW_A9013,0,MAPPING UNIT FOR MIRROR TOOL
IDLW8TW_A9015,0,MIRROR U/D MOTOR+LIGHTING UNIT
IDLW8TW_M0109,0,MIRROR
IDLW8TW_M0110,0,MIRROR
IDLW8TW_M0610,0,LED COVER
IDLW8TW_M0612,0,LED COVER
IDLW8TW_M0614,0,LED COVER
IDLWA05A09013,0,BSS MAPPING MODULE
IDLWA06A09106,0,BSS CAMERA MODULE
IDLWM08M00098,0,SUPPORT FOR FIXED COMB
IDLWMS1_A9507,0,INDUSTRIAL PC
IDW8MR_A9005,0,IDW8MR_A9005
IDW8MS1_A9011,0,CAMERA UNIT
IDW8MS1_M0092,0,CAMERA WINDOW
IDWA05A09013,8,BSS MAPPING MODULE
IDWA06A00209,8,IR CAMERA FILTER/COVER
IDWA06A09012,4,IR LIGHTING UNIT
IDWA06A09106,0,BSS CAMERA MODULE
IDWA17A09007,2,PC IDLW DUAL CAMERA (SEH)
IDWA17A09008,0,PC IDLW DUAL CAMERA (SEH)
IDWA18A09007,10,"PC"""""""""""""""""""""
IDWM08M00014,0,SUPPORT FOR ROLLER
IDWM8M00014,0,SUPPORT FOR ROLLER
IDWM8M0098,3,OCR 26 WAFERUPGRADE
IDWS07M00108,0,CHARIOT MIROIR
IDWS11A09019,0,MIRROR
INTAH00235,2,CPU Jumper Board
INTAH0086,4,SAFETY OPTICAL BARRIER BOARD
INTAH0097,10,CARTE GEST 2 SIG NAUX
INTAH0135,0,ALIGNER MANAGEMENT BOARD
INTAH0137,0,FO RACKET CAN INT BOARD
INTAH0138,0,FO RACKET INT BOARD
INTAH0139,2,FO RACKET F/B BOARD
INTAH0148,0,FFU DISTRIB BOARD
INTAH0149,0,FFU SIGNAL DISTRIB BOARD
INTAH0183,0,RESTING PLANE INTERFACE SENSOR
INTAH0222,1,INTERFACE BOARD
INTAH0225,3,CARTE INTERFACE AXE Z
INTAH0235,2,TWO MOTHER BOARD LINK BOARD
INTAH0251,2,STATUS LIGHT TOWER INT. BOARD
INTAH0266,16,INPUT/OUTPUT INT. BOARD
INTAH0294,0,MAPPING INTERFACE BOARD
INTAH0315,1,ALIGNER MANAGEMENT BOARD
INTAH0336,1,SENSOR ENCODER INT BOARD
INTAH0366,2,BUFFER BOARD
INTAH0381,11,MAPPING INTERFACE BOARD
INTAH0419,0,Wafer Mapping Interface Board
INTAH0426,0,ROTATION INTERFACE BOARD
INTAH0489,1,CARTE INTERFACE Y/Z
INTAH0490,1,CARTE INTERFACE AXE
INTAH0494,0,POWER SUPLLY TAG READER BOARD
INTAH0510,1,MONO ARM CLAMP INTERFACE BOARD
INTAH0511,1,UPS ADAPTOR BOARD
INTAH0530,1,INTERFACE BOARD
INTAH0540,11,FOHA SECURITY BEAM INT. BOARD
INTAH0545,0,INTERFACE SENSOR BOARD
INTAH0562,2,Y/Z AXE'S INTERFACE BOARD
INTAH0563,1,Y AXE'S INTERFACE BOARD
INTAH0564,0,Z AXE'S INTERFACE BOARD
INTAH0565,1,LIGHTING MANAGEMENT BOARD
INTAH0578,0,USB ADAPTOR
INTAH0599,0,Carrier Load Table Interface B
INTAH0619,0,CONVERTER 12V/24V BOARD
INTAH0626,0,ALIGNER MANAGEMENT BOARD
INTAH0631,2,MAPPING INTERFACE BOARD
INTAH0632,1,INTERFACE BOARD PC G3+
INTAH0673,2,Hermes board
INTAH0675,0,Multi I/O USB board
INTAH0678,0,ECUA0044/45 PC INTERFACE BOARD
INTAH0679,1,LPS Interface Board
INTAH0680,1,Robot I/O board
INTAH0685,1,DSPAC2-Recif Board
INTAH0686,1,Canopy Interface board
INTAH0688,2,USB HUB
INTAH078,0,CARTE INTERFACE CONNECTIQUE
INTAH9090,4,BAR CODE GUN/SHUNT BOARD
INTAHO510,0,CLAMP INTERFACE BOARD
INTBH0210,0,I/O DERIVATION BOARD
