pn,qty,description
AXE015341,2,BACK RAIL
AXE015342,2,Z TOWER RAIL
AXE015343,2,Y LINEAR RAIL FOR AXIS
AXE015387,0,Rail SSR 15XW1C1M+400
AXE015388,0,Rail SSR 15XV2C1M+400
AXE015389,0,Y Axis Rail
AXE015391,0,Antenna LIM Guide and Bearing
AXE015392,0,440MM SINGLE SLIDING BLOCK RAI
B-M6F,0,GREASE NIPPLE B-M6F
BAT000685,0,SPP8/BPP8 BATTTERY
BAT008531,2,PACK NIMH 12V/3AH  NP7_12
BAT010914,155,LITHIUM BATTERY
BAT011605,0,UNINTERUPTED POWER SUPPLY 110
BAT015014,0,UPS
BAT015100,0,BATTERIE ADASTRA
BAT015104,0,"UPS, 110VAC"
BAT015105,0,LITHIUM BATTERY
BAT015107,3,"UPS, KING 2200VA-110V"
BAT015108,0,BATTERY FOR UPS
BAT015111,0,UPS Battery
BAT015112,0,UPS 220V
BAT08531,0,UPS BATTERY
BFMA01A52210,1,FLIP MOTOR
BFMA01A52580,1,GRIP MOTOR
BFMA01A55015,0,MOTOR GRIP
BFMA01A55120,0,COMB
BFMA01A55122,0,BFM INSERT
BFMA01A55500,5,FIXED COMB
BFMA01M5503,0,WAFER SUPPORT SLOT COMB
BFMA01M55122,0,BFM INSERT
BFMA01M55500,0,FIXED COMB
BFMA01M55501,0,FIXED COMB PART 1
BFMA01M55502,0,FIXED COMB PART 2
BFS-300,0,SYSTEM WAFER FLIP BATCH BFS300
BFS300T51,0,BFS300 300MM BATCH FLIP SYSTEM
BFSA01A51015,24,FINGER FOR BFS
BFSA01A51065,3,SENSOR
BFSA01A55015,0,UP/DOWN MOTOR
BPP200H06,0,BATCH PICK&PLACE TOOLFOR8WAFE
BPP300,0,BATC H TRANSFER SYSTEM
BPP300A01_A5550,0,BATCH COMB U/D MOTION MOTORIZA
BPP300A01_M5353,4,SUPPORT TUBE
BPP300A01_M5354,0,WIRE GUIDE CYLINDRICAL TUBE
BPP300A01_M5599,1,BELT
BPP300T50,0,BPP300 BATCH TRANSFER SYSTEM
BPP8D01A0516,0,LEFT COMB ASSEMBLY
BPP8D01A0517,2,RIGHT COMB ASSEMBLY
BPP8K01,1,LINEAR BALL BEARING KIT
BPP8K02,1,BEARING KIT
BPP8K04,2,FUSE KIT
BPP8K05,2,LAMP LED KIT
BPP8K06,0,KIT OF DALLAS MICRON TROLLER
BPP8M_A0081,1,KEYBOARD ASSEMBLY
BPP8M_A0330,2,ANTENNA ASSEMBLY
BPP8M_A0362,0,ANTENNA MOTOR
BPP8M_A0509,1,RIGHT COMB ASSEMBLY
BPP8M_A0520,2,ON BOARD LED ASSEMBLY
BPP8M_A0540,0,COMB SCREW ASSY (MICRUS ONLY)
BPP8M_A0541,1,COMB MOTOR ASSEMBLY
BPP8M_A0593,2,F/B MOTOR ASSEMBLY
BPP8M_A0700,5,STATUS LIGHT
BPP8M_M0331,3,DRIVE BELT FOR BPP8M
