Item ID,Qty on Hand
FON01A00006,6
FON01A61000,94
FON01A85560,2
FON01M100005,2
FOR300K100,18
FOR300K102,3
FOR300K103,2
FORE08A70000,3
FORE08K04,7
FRE010841,4
FUSE15117,35
FUSE15140,5
IC-7905T,20
IDLAC010,62
IDLAC012,4
IDLAC017,16
IDLAC020,3
IDLAC025,2
IDLAC027,1
IDLAC030,1
IDLAC032,3
IDLAC033,6
IDLAC037,5
IDLAC070,17
IDLAC105,2
IDLAC110,2
IDLAC111,2
IDLAC113,2
IDLAC114,2
IDLAC117,3
IDLAC120,2
IDLAC2001,7
IDLAC2002,2
IDLAC2006,2
IDLAC2015,2
IDLAH0011,15
IDLAH0024,1
IDLAH0027,1
IDLAH0079,9
IDLAH0112,13
IDLAH1100,22
IDLAH1800,1
IDLAH1900,21
IDLAH9418,5
IDLBC016,1
IDLBC017,1
IDLBH0011,5
IDLW8_A0139,6
IDLW8_A9002,38
IDLW8_A9003,8
IDLW8_A9005,4
IDLW8_A9009,1
IDLW8_A9010_04,2
IDLW8_A9011,6
IDLW8_A9012,20
IDLW8_A9013,9
IDLW8_A9014,21
IDLW8_A9020,16
IDLW8_A9021,7
IDLW8_A9087,19
IDLW8_A9088,10
IDLW8_A9103,2
IDLW8_A9105,1
IDLW8_A9109,3
IDLW8_A9114,9
IDLW8_A9118,206
IDLW8_A9180,1
IDLW8_A9214,7
IDLW8_A9543,9
IDLW8_A9563,1
IDLW8_A9564,2
IDLW8_M0014,4
IDLW8_M0022,4
IDLW8_M0045,10
IDLW8_M0064,1
IDLW8_M0069,17
IDLW8_M0077,5
IDLW8_M0099,25
IDLW8_M0305,2
IDLW8_M0559,1
IDLW8_M1106,2
IDLW8_M1107,2
IDLW8AD1A09000,2
IDLW8AD2A09000,33
IDLW8H9010,10
IDLW8K01,4
IDLW8K02,15
IDLW8K03,2
IDLW8K05,2
IDLW8K07,2
IDLW8K102,2
IDLW8K12,3
IDLW8K17,3
IDLW8M_M0608,5
IDLW8MR_A9005,2
IDLW8MS1_A9015,2
IDLW8S1_A9019,1
IDWA05A09013,8
IDWA06A00209,8
IDWA06A09012,4
IDWA17A09007,2
IDWA18A09007,10
IDWM8M0098,3
INTAH00235,2
INTAH0086,4
INTAH0139,2
INTAH0222,1
INTAH0225,3
INTAH0235,2
INTAH0266,16
INTAH0336,1
INTAH0366,2
INTAH0381,11
INTAH0489,1
INTAH0490,1
INTAH0510,3
INTAH0511,1
INTAH0530,1
INTAH0540,11
INTAH0562,2
INTAH0565,1
INTAH0631,2
INTAH0632,1
INTCH0189,10
INTR14382,11
JOIN15270,1
LPSA00A21110,1
LPSA00A34150,1
LPSA00M40212,4
MOBBH0191,4
MOBCH0131,2
MOBDH0427,8
MOBNH0131,3
MOT015195,4
MOT015196,4
MOT015238,1
MOT015240,1
MOT015264,1
MOT015301,1
MP12_A6006,15
MPP12_A6010,5
MPP12_A6060,6
MPP12_M6011,3
MPP12_M6019,2
MPP12_M6020,2
MPP12_M6022,2
MPP12_M6025,2
MPP12_M6036,3
MPP12_M6038,4
MPP12_M6096,4
MPP12_M6102,4
MPP12_M6105,4
MPP12_M6119,78
MPP12SI_A6040,4
NFE200,1
NFO300K002,1
NFOA01A18003,1
NFOA01A22108,1
NFOA01A22300,5
NFOA01A23106,9
NFOA01A23300,3
NFOA01A30000,5
NFOA01A31107,2
NFOA01A31115,3
NFOA01A31305,10
NFOA01A31515,12
NFOA01A33106,3
NFOA01A33108,1
NFOA01A60200,2
NFOA01M20231,3
NFOA01M21006,1
NFOA01M21203,45
NFOA01M22027,16
NFOA01M31022,2
NFOA01M31109,10
NFOA01M31130,7
NFOA01M31132,20
NFOA01M33108,1
NFOB00M21121,1
NFOB00M21122,1
NFOS01M22114,2
OPTO15060,10
OPTO15065,15
PCOAH0341,13
PCOAH2500,1
PCOEH2500,2
PCOFH2500,4
PLOT00327,10
PNEU14386,3
PNEU14388,7
PNEU14396,87
PRF014377,1
PRF014516,50
PRF014598,2
PRF014601,2
PWRAH0110,2
PWRAH0117,2
PWRAH0168,3
PWRAH0209,1
PWRAH0593,1
PWRBH0542,5
R9201A2,13
REL015215,3
REL015226,1
RES000336,60
RST010831,100
RTSA01M18108,1
SAVK03,1
SAVK04,1
SAVK05,4
SAVK08,1
SAVK09,4
SAVK10,4
SAVK11,31
SAVK12,1
SAVK18,2
SAVK33,1
SAVK41,12
SAVK42,4
SAVK44,15
SAVK51,1
SAVK53,1
SAVK55,2
SAVK56,2
SAVK58,3
SAVK64,3
SP3AC0049,5
SP3AC0052,1
SP3AC0053,1
SP3AC0060,2
SP3AC0062,3
SP3AC0082,8
SP3AC0083,8
SP3AC0127,2
SP3AC0132,2
SP3AC0133,2
SP3AC1006,2
SP3AC1007,5
SP3BC0050,3
SPP300A03_A1200,9
SPP300A03_A1250,13
SPP300A03_A1267,6
SPP300A03_M1026,2
SPP300A03_M1030,2
SPP300C03_A6050,2
SPP300C03M6083,3
SPP300C03M6099,3
SPP300F02_M14101,1
SPP300F02_M14102,1
SPP300F02_M3507,4
SPP300F02_M3514,2
SPP300F02_M6022,3
SPP300F03_A1660,8
SPP300F04_A1050,4
SPP300F04_A1200,11
SPP300F04_A2100,4
SPP300F04_A8000,2
SPP300F04_M3501,1
SPP300F04_M3504,1
SPP300F04_M3512,1
SPP300F04_M4010,1
SPP300F04_M4011,5
SPP300F04K01,6
SPP300F04K03,5
SPP300F05_A11160,3
SPP300F05_A1640,6
SPP300F05_A3500,3
SPP300F05_M3588,2
SPP300K101,1
SPP300K102,3
SPP300K104,3
SPP300K105,1
SPP300K108,1
SPP300K110,2
SPP300K116,5
SPP300K117,4
SPP300K118,5
SPP300K121,5
SPP300K123,7
SPP8M_A0330,2
SPP8M_A0423,3
SPP8M_A0506,2
SPP8M_A0507,2
SPP8M_A0599,2
SPPA01A54000,2
SPPA02M64011,12
SPPA04A60000,2
SPPA17A10105,1
SPPA17A31205,1
SPPA17A75100,1
SPPA17A75200,1
SPPA17M50997,1
SPPA17M51035,1
SPPA17M54278,2
SPPA34A16035,3
SPPA43M54424,20
SPPA51A41105,2
SPPAC014,2
SPPAH0022,2
SPPAH0057,2
SPPAH0069,3
SPPAH1300,2
SPPAH2500,3
SPPB09M00507,2
SPPBH1300,1
SPPD02A17018,1
SPPD02A25055,1
SPPD02A51007,1
SPPD02A51008,2
SPPD02A51016,1
SPPD02A51019,5
SPPD02A70017,7
SPPD02A75800,1
SPPD02A80015,1
SPPF04A40100,7
SPPF04M00066,6
SPPF04M00067,10
SPPF05A11155,12
SPPF05A35055,1
SPPF05A40008,4
SPPF05A60850,1
SPPF05A61000,3
SPPF05A62005,2
SPPF05M00570,2
SPPF05M51716,2
SPPF05M60840,1
SPPF05O4000,2
SPPF20A11527,4
SPPF20A16018,4
SPPF20A16019,4
SPPF20A16028,7
SPPF20A60305,1
SPPF20A60315,6
SPPF20A80005,1
SPPF20A80107,5
SPPF20M54314,1
SPPF21A60405,2
SPPF50A60010,1
SPPF50A60020,1
SPPF50A60450,2
SPPFH1500,1
SPPG03A55109,3
SPPG03A55115,5
SPPG03A55206,3
SPPG03A55207,3
SPPG03A55209,5
SPPR01M35002,2
SPPR01M35003,2
SPPR01M35014,1
SPPR01M35015,2
SPPT02M00367,12
SPPT02M60009,25
SPPT03M00551,8
SPPT14M52359,4
SPPT14M52360,2
SRTF01A14505,1
SRTF01A40200,7
SRTF01M50129,10
STD1193-03,4
STD119304,7
STDAH0037,11
STDAH0130,2
STDAH0185,1
STDAH0227,1
STDAH0237,2
STDAH0255,5
STDAH0263,2
STDAH0308,12
STDAH0311,1
STDAH0372,8
STDAH0373,9
STDAH0383,3
STDAH0384,1
STDAH0411,7
STDAH0412,2
STDAH0469,5
STDAH0470,3
STDAH0521,1
STDAH0548,5
STDAH0549,1
STDAH0569,5
STDAH0604,1
STDBH0130,9
STDBH0270,2
STDBH0308,3
STDBH0372,1
STDBH0374,4
STDBH0388,3
STDBH0452,2
STDDH0666,1
TA50085,5
